,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,Emotion
0,-1.1541463,-0.7672487,-0.013430806,0.5361249,0.44261155,-0.34051028,-0.74560356,-0.9944448,-0.8326504,-0.96769166,-0.97493595,-0.89027506,-0.8827866,-0.9583355,-1.1300373,-1.0629354,-1.0588142,-1.0598756,-1.0237046,-1.0262938,-1.1457604,-0.99514645,-0.8946013,-1.0573334,-1.2672255,-1.3401878,-1.2094059,-1.2530057,-1.2977729,-1.3199904,-1.162629,-1.1848692,-1.354569,-1.41545,-1.4710375,-1.4707158,-1.1844168,-1.2307423,-1.1979587,-1.1691749,-1.2381792,-1.2129347,-1.3040106,-1.346385,-1.2048142,-1.0702014,-0.9628638,-0.8536439,-0.8954553,-1.0175275,-1.0363971,-1.014307,-0.9618816,-0.8735984,-0.9799281,-1.0151267,-0.9868265,-0.980551,-0.9794901,-1.1657177,-1.0777459,-1.0290598,-1.0846349,-1.2099736,-1.2076906,-1.3220074,-1.4226351,-1.1646444,-1.1358376,-1.2290719,-1.2923585,-1.3246881,-1.1791567,-1.1998762,-1.2373031,-1.1127304,-0.9417785,-0.8688448,-0.8867321,-0.8945816,-0.86810803,-0.92512995,-1.07684,-1.1492991,-1.1155438,-1.1456507,-1.1729268,-1.1431826,-1.1531496,-1.0691676,-0.95269185,-0.9604582,-1.013592,-0.9983401,-0.9137983,-1.0707394,-1.2117085,-1.3509274,-1.5225855,-1.6032317,-1.5317925,-1.3129791,-1.2652695,-1.3161818,-1.3887529,-1.412499,-1.387495,-1.4226415,-1.3778099,-1.436852,-1.3824092,-1.4356571,-1.339388,-1.2047726,-1.0892845,-0.89621186,-0.8955604,-0.95765394,-0.9638682,-0.9993224,-1.0927593,-1.1293316,-1.1865456,-1.1677402,-1.1500535,-1.1694044,-1.2291867,-1.0926417,neutral
1,-1.3111486,-0.50899523,0.12456376,0.46482208,0.32501927,-0.42817158,-0.83197993,-1.1449434,-1.159781,-1.3143188,-1.2448823,-1.0667748,-1.0943278,-1.1355321,-1.2213321,-1.1854577,-1.2171328,-1.1533976,-1.1344074,-1.1551601,-1.2740628,-1.1458108,-1.0823032,-1.2071314,-1.3968773,-1.4352652,-1.3334854,-1.3410312,-1.3791194,-1.3828504,-1.2588377,-1.2879725,-1.454857,-1.431241,-1.4797672,-1.5132829,-1.3004967,-1.3138415,-1.2570566,-1.1950706,-1.1854906,-1.2072699,-1.3084352,-1.3650498,-1.1887268,-1.123419,-1.0435356,-0.9724597,-1.034998,-1.1168839,-1.0848966,-1.0925143,-1.0282539,-0.9614353,-1.0689325,-1.0700861,-1.0792105,-1.0542878,-1.0696945,-1.2152524,-1.1238339,-1.1148506,-1.1973023,-1.257183,-1.2401849,-1.3373706,-1.426501,-1.2116462,-1.1990813,-1.2771531,-1.324646,-1.3160813,-1.197244,-1.2234718,-1.214096,-1.1431324,-1.007789,-0.92047775,-0.9555176,-0.94205433,-0.91791415,-0.98058313,-1.0894612,-1.1436408,-1.141009,-1.172801,-1.2112393,-1.1596242,-1.1219224,-1.116163,-0.9847677,-0.9919243,-1.0283568,-1.0139066,-0.9396065,-1.0753334,-1.1850111,-1.3027966,-1.4672865,-1.5344179,-1.4555146,-1.2626715,-1.2161483,-1.2643455,-1.3429328,-1.3162738,-1.2937225,-1.3393457,-1.2857537,-1.3515271,-1.310632,-1.3439571,-1.265008,-1.1425563,-1.0215205,-0.87374973,-0.8369395,-0.93205494,-0.9120441,-0.9444253,-1.0092841,-1.0696629,-1.0842582,-1.085498,-1.0830373,-1.085293,-1.1129967,-0.9502267,neutral
2,-0.8792586,-0.25119632,0.17473236,0.4755257,0.67283356,0.09945071,-0.42563522,-0.8155498,-0.8096675,-0.7312184,-0.54396456,-0.58544695,-0.7400388,-0.76235384,-0.7570874,-0.873184,-0.8149657,-0.70200336,-0.82204735,-0.893553,-0.98633116,-1.001518,-0.9200488,-0.90859735,-0.9521657,-1.1626128,-1.2812493,-1.1442689,-0.95015454,-0.9909105,-1.220124,-1.2570906,-1.2349628,-1.2617636,-1.3659308,-1.4664302,-1.3664699,-1.2537452,-1.0087564,-1.0712477,-1.1683749,-1.1715426,-1.110113,-1.1782718,-1.2246482,-1.2093383,-0.96840215,-0.66690403,-0.7111655,-1.0008624,-1.045064,-0.912558,-0.8240096,-0.7951861,-0.8324902,-0.7765818,-0.8234545,-0.8413975,-0.84881324,-0.8757409,-0.7898125,-0.8582914,-1.0868008,-1.0122885,-1.0205016,-1.2091866,-1.2251569,-1.1108339,-1.141486,-1.1623033,-1.1804842,-1.1161929,-0.99509716,-1.025406,-1.0877261,-0.99099046,-0.8688265,-0.77577114,-0.84010184,-0.71622527,-0.68556684,-0.74963194,-0.8328504,-0.9655137,-0.8767773,-0.9336031,-0.9722246,-0.89932954,-0.8393898,-0.8217228,-0.802294,-0.78657836,-0.84105945,-0.75817025,-0.77604526,-0.83809835,-0.91352445,-0.9803712,-1.315434,-1.494378,-1.4156234,-1.1684511,-1.0135567,-1.0104351,-1.086339,-1.2783641,-1.2529496,-1.3332695,-1.3492055,-1.5030729,-1.449421,-1.4474438,-1.350012,-1.1818018,-1.0181919,-0.91097295,-0.86457944,-0.8976034,-0.94213843,-1.0256197,-1.1393437,-1.1746036,-1.2163197,-1.2044551,-1.1778874,-1.1839024,-1.2602035,-1.138351,neutral
3,-1.252181,-0.4435564,-0.040845092,0.3641724,0.42676857,-0.17244399,-0.72520655,-1.1421657,-1.2265232,-1.1466627,-0.9356029,-0.8584003,-0.9693692,-1.0244505,-1.0822629,-1.1743848,-1.1293893,-0.9612711,-1.0149086,-1.040487,-1.1746845,-1.1585823,-1.0574657,-1.1157213,-1.2042896,-1.3454599,-1.3611568,-1.2619011,-1.117915,-1.1611938,-1.2756656,-1.2983321,-1.2546262,-1.2554969,-1.4122064,-1.5129788,-1.3854908,-1.2816129,-1.1161199,-1.1545337,-1.1920241,-1.1989926,-1.1829172,-1.2324928,-1.1768628,-1.1565228,-1.0066886,-0.7911331,-0.8515909,-1.0660955,-1.0509812,-0.9830272,-0.90114045,-0.8970588,-0.932638,-0.9068394,-0.9040331,-0.90482163,-0.9460845,-0.95277935,-0.8940391,-0.921173,-1.0908221,-1.0727255,-1.0138829,-1.1745918,-1.2374995,-1.1362158,-1.111265,-1.1307101,-1.1849674,-1.1265236,-1.0131569,-1.0475135,-1.0818499,-1.0160518,-0.9193391,-0.8512189,-0.9147287,-0.8018989,-0.7699659,-0.80642533,-0.88042474,-0.9557795,-0.8831787,-0.9613124,-0.9803593,-0.8940682,-0.8716332,-0.8623776,-0.798919,-0.78290963,-0.81040496,-0.7744442,-0.7639884,-0.8103747,-0.89053893,-0.9748408,-1.2310889,-1.3602692,-1.3072262,-1.1169746,-0.9637288,-0.9487253,-1.0194235,-1.1569797,-1.1116185,-1.1930459,-1.2168138,-1.3214031,-1.2918006,-1.277679,-1.2148386,-1.0775474,-0.9384905,-0.8135782,-0.78090096,-0.81350017,-0.87023765,-0.9584145,-1.0279922,-1.0382475,-1.0911347,-1.072059,-1.0463068,-1.0461165,-1.0748338,-0.89348924,neutral
4,-1.084729,-0.6337851,-0.17179683,0.55334085,0.61270034,-0.21912988,-0.8975699,-1.0268298,-0.9925145,-0.99252886,-0.8571457,-0.7352529,-0.73678666,-0.787055,-1.0830103,-0.97478193,-0.8121783,-0.6106933,-0.808483,-1.0348551,-0.98194283,-0.74476475,-0.77062047,-1.0683116,-1.3451065,-1.0725026,-0.9448117,-1.06787,-1.112218,-1.2319006,-1.083288,-1.0141907,-1.2009858,-1.1898184,-1.2439506,-1.4172134,-1.3074002,-1.2877448,-1.1487424,-1.0579642,-1.0684227,-1.133919,-1.1927465,-1.1784627,-0.9670744,-0.9793605,-0.8706793,-0.637303,-0.7836855,-0.9931918,-0.9597037,-0.85358864,-0.8812603,-0.86130357,-0.9087361,-0.85871094,-0.8732945,-0.8311206,-0.8843828,-0.93306154,-0.8911836,-1.0627689,-1.078389,-1.0357578,-1.1755371,-1.2319158,-1.3633603,-1.2034627,-1.2092488,-1.2351569,-1.2375098,-1.2676545,-1.0615858,-1.0894222,-1.1306618,-1.0630507,-0.9106488,-0.8226577,-0.87007815,-0.9083855,-0.94107836,-1.0686432,-1.1246437,-1.2050524,-1.1207746,-1.1855539,-1.2216641,-1.135974,-1.1122392,-0.99511635,-0.8877329,-0.84999824,-0.8571991,-0.8481651,-0.87748843,-1.0306516,-1.1045856,-1.1921608,-1.3768419,-1.4067146,-1.4367001,-1.2984263,-1.1920383,-1.2090392,-1.3075854,-1.262967,-1.2512152,-1.2754492,-1.2610993,-1.2460741,-1.2441583,-1.2509738,-1.2153122,-1.1236553,-1.0109724,-0.94242555,-1.0127412,-1.056343,-1.0237796,-1.1143376,-1.1875892,-1.2359216,-1.3043779,-1.2909193,-1.2170873,-1.1962029,-1.2072992,-1.0601553,neutral
5,-1.2516891,-0.59366727,-0.14450637,0.4001855,0.42724138,-0.3045844,-0.91326696,-1.1011758,-1.0651459,-1.1084858,-0.9665394,-0.8308167,-0.7854062,-0.85737985,-1.1339544,-1.0721163,-0.9550774,-0.8563947,-1.0075,-1.1825099,-1.1482028,-0.84920514,-0.83505,-1.0803313,-1.3693755,-1.1679047,-1.0257858,-1.0369347,-1.13454,-1.2073157,-1.1559045,-1.0994143,-1.2305334,-1.1992817,-1.1970319,-1.2971284,-1.2450086,-1.212204,-1.1271647,-1.0527532,-1.068139,-1.0855345,-1.0975109,-1.0870386,-0.95613045,-0.9487522,-0.8408099,-0.6656302,-0.79143786,-0.95896626,-0.93628937,-0.8356721,-0.8627844,-0.8698393,-0.89431924,-0.8581213,-0.8934172,-0.87032634,-0.89054096,-0.93341887,-0.91615254,-1.043793,-1.0648184,-1.0501759,-1.1455992,-1.171007,-1.2907151,-1.158319,-1.1209445,-1.1527011,-1.1601653,-1.1760381,-1.0298172,-1.0496091,-1.0377191,-1.0024091,-0.8510411,-0.7866215,-0.81077975,-0.8345435,-0.89064693,-1.0078527,-1.0313424,-1.0966789,-1.0339539,-1.0692471,-1.0965347,-1.0012169,-0.9802439,-0.916153,-0.8407183,-0.7775331,-0.7693575,-0.7843857,-0.825637,-0.91678184,-0.9985353,-1.0692081,-1.2305014,-1.2701372,-1.2657067,-1.1320617,-1.0556147,-1.0711179,-1.1281722,-1.087479,-1.0818973,-1.1045806,-1.0696902,-1.0539892,-1.0427954,-1.067511,-1.0325025,-0.93280196,-0.8588878,-0.8101449,-0.84505445,-0.850466,-0.84556866,-0.92961395,-0.9852102,-1.0272444,-1.0898076,-1.075713,-1.0262387,-0.9949972,-0.98187876,-0.7480858,neutral
6,-1.1388438,-0.8114142,-0.058232203,0.61929125,0.63013107,-0.20092855,-0.92316437,-1.1407702,-1.0263244,-0.7897094,-0.7100393,-0.9768714,-0.9859904,-0.9478175,-0.88762003,-0.86056864,-0.8812101,-0.8793209,-1.0728536,-1.1292648,-1.0304358,-0.7856859,-0.85755223,-1.1061407,-1.3799934,-1.2806846,-1.1140484,-1.1011552,-1.1042877,-1.2306393,-1.220467,-1.2620862,-1.2286751,-1.1988039,-1.308576,-1.5469798,-1.48034,-1.2381679,-1.1058524,-1.0699598,-1.1102191,-1.2673128,-1.2773783,-1.2568811,-1.0888947,-1.0806001,-0.95512056,-0.69482076,-0.781297,-1.0668261,-0.943406,-0.8242569,-0.8322463,-0.8884861,-0.858695,-0.88282126,-0.9120958,-0.8396638,-0.8889609,-1.0292268,-0.96635264,-0.99299854,-1.096661,-1.0462465,-1.1668833,-1.2692834,-1.3042873,-1.2278049,-1.2168099,-1.2241534,-1.2531395,-1.2917478,-1.0908594,-1.0908598,-1.140404,-1.0168142,-0.94748455,-0.9062429,-0.871842,-0.87109375,-0.9532304,-1.0383916,-1.111803,-1.1840045,-1.1129022,-1.113311,-1.1329814,-1.1072963,-1.0392874,-0.94165033,-0.89253604,-0.87442267,-0.9269278,-0.90959257,-0.90388393,-0.93574363,-1.0099442,-1.0807955,-1.1645712,-1.1933707,-1.177419,-1.1375489,-1.1263834,-1.0858263,-1.0511227,-1.0767765,-1.0749182,-1.0735658,-1.1050425,-1.0564747,-1.0762963,-1.0835968,-0.99420136,-0.88142985,-0.86640483,-0.8552163,-0.88192964,-0.8745869,-0.91608703,-1.0259651,-1.0763292,-1.1316965,-1.1522882,-1.095339,-1.07337,-1.0220431,-0.91444373,-0.7000911,neutral
7,-1.199095,-0.50201946,0.15576422,0.6478425,0.5907362,-0.20978437,-0.78235304,-0.97550356,-1.0215214,-0.93518746,-0.77788997,-0.8807458,-0.89263916,-0.88142353,-0.92956245,-0.9369362,-0.92581123,-0.95328087,-1.1016343,-1.1489437,-1.1238453,-0.8603842,-0.9184937,-1.121981,-1.3535894,-1.2787173,-1.1185833,-1.0929451,-1.0935354,-1.2095574,-1.2374238,-1.2380774,-1.1811192,-1.1171582,-1.23153,-1.4488368,-1.4175272,-1.1901761,-1.0280032,-0.9953187,-1.0493164,-1.1778269,-1.2431257,-1.2083592,-1.0421877,-1.0147626,-0.90608454,-0.66437703,-0.76091737,-0.994028,-0.8940321,-0.83269525,-0.84073293,-0.8803784,-0.8709965,-0.8811461,-0.8892664,-0.8445908,-0.869611,-0.93663305,-0.8856812,-0.97861713,-1.0657421,-1.018154,-1.1206495,-1.2501792,-1.2945572,-1.1973971,-1.1604573,-1.1787342,-1.2093877,-1.2219534,-1.0760101,-1.0710616,-1.079162,-0.9621568,-0.9045721,-0.85767436,-0.8463768,-0.86810607,-0.9390137,-0.9806863,-1.0682595,-1.1221391,-1.0534518,-1.0666727,-1.1034828,-1.0707998,-1.0068674,-0.9130052,-0.89518285,-0.86879027,-0.90367585,-0.9053797,-0.8866728,-0.9179614,-0.9981805,-1.0358468,-1.1002789,-1.1498595,-1.1412513,-1.0908846,-1.0749344,-1.026019,-1.0095826,-1.0341595,-1.0231572,-1.0270782,-1.0532491,-0.9937963,-1.030603,-1.0270201,-0.9501775,-0.83635765,-0.8368849,-0.8124761,-0.8260845,-0.8194836,-0.8238797,-0.93244547,-0.99450356,-1.0484039,-1.071,-1.0140432,-0.9722273,-0.940583,-0.83815014,-0.641911,neutral
8,-1.1860213,-0.84509873,-0.23338787,0.55331177,0.55460936,-0.07082403,-0.6976955,-0.883931,-0.6827827,-0.8184926,-0.98934215,-0.76471287,-0.73970896,-0.8242479,-1.0582874,-0.9468243,-0.8657703,-0.7406953,-0.6639197,-0.61669225,-0.8464622,-1.0362276,-0.9099251,-0.8561848,-0.9317559,-1.1212683,-1.2587769,-1.479632,-1.2266561,-1.1595726,-1.2885766,-1.23761,-1.2731682,-1.3065048,-1.3768274,-1.616294,-1.489903,-1.4095144,-1.1332946,-0.9952757,-1.1752598,-1.0989696,-1.3344773,-1.3912078,-1.1043321,-1.0802429,-1.0554937,-0.9453688,-0.9477395,-1.1077155,-1.09181,-1.055173,-0.99098784,-0.8836201,-0.99469626,-0.9352652,-0.8839327,-1.042102,-1.1792216,-1.0512809,-1.0823404,-1.1348327,-1.1452942,-1.1251242,-1.1555462,-1.2933196,-1.4260051,-1.1725073,-1.2614635,-1.3761494,-1.3622372,-1.3364025,-1.1638134,-1.1720898,-1.1191243,-1.1664317,-1.0453424,-1.0396123,-0.9222871,-0.8941487,-0.88623714,-0.9409976,-0.97582436,-1.1214533,-1.1079174,-1.1954764,-1.327869,-1.2886721,-1.2484746,-1.1588914,-1.1102967,-1.1050683,-1.1167103,-1.0536363,-1.065636,-1.1503421,-1.3131257,-1.3080591,-1.4833136,-1.4621589,-1.5759504,-1.5234236,-1.4784889,-1.4557981,-1.3906773,-1.3522751,-1.347245,-1.4915503,-1.4201925,-1.4829403,-1.485705,-1.3958367,-1.2875403,-1.1108179,-0.99123913,-0.9144674,-0.92685694,-0.98833,-1.1384909,-1.3231199,-1.4422787,-1.4150593,-1.3976591,-1.4383636,-1.4084659,-1.4180646,-1.3984857,-1.2495956,calm
9,-1.3215166,-0.56014776,-0.17114499,0.3531179,0.26239443,-0.31795335,-0.89406425,-1.1314901,-1.1160539,-1.1511772,-1.2541524,-1.0394347,-0.98137426,-1.1036478,-1.3026886,-1.253125,-1.2309867,-1.1697352,-1.1053196,-1.0293354,-1.242196,-1.4709463,-1.3712492,-1.2991762,-1.2653022,-1.4468179,-1.5207506,-1.5724739,-1.4311931,-1.3713226,-1.4561672,-1.4565313,-1.4641554,-1.4096478,-1.4898825,-1.658851,-1.6100942,-1.5047189,-1.2457298,-1.2237576,-1.3461454,-1.2867357,-1.445618,-1.5208331,-1.2494886,-1.1950328,-1.193148,-1.0836743,-1.1466051,-1.3055488,-1.2240585,-1.1932303,-1.1684954,-1.1123762,-1.2446657,-1.1696973,-1.1563681,-1.2622308,-1.3206246,-1.2119534,-1.2641559,-1.3368213,-1.3673209,-1.3429393,-1.367513,-1.4600021,-1.5297036,-1.362674,-1.4371138,-1.4868435,-1.4638287,-1.478655,-1.3128369,-1.2945157,-1.2965975,-1.3083283,-1.180693,-1.1907879,-1.1302383,-1.0785161,-1.0550135,-1.1095115,-1.1397957,-1.279952,-1.2511342,-1.3243285,-1.4055836,-1.368963,-1.3643732,-1.32999,-1.2338241,-1.2352853,-1.2524452,-1.2023966,-1.2034354,-1.2455868,-1.3488891,-1.3872395,-1.5195314,-1.5006794,-1.5882822,-1.5302973,-1.4876324,-1.4573392,-1.4303612,-1.381949,-1.3745822,-1.4557394,-1.411995,-1.4541266,-1.47294,-1.4160099,-1.2933445,-1.1649295,-1.0650638,-0.9956553,-0.99307334,-1.0259475,-1.1891909,-1.3083978,-1.3573737,-1.3777643,-1.358528,-1.3989853,-1.3721113,-1.3647741,-1.3329151,-1.1402941,calm
