,Gender,Emotion,Actor_ID,Path
0,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-01-01-01-stretched.wav
1,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-01-01-01.wav
2,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-01-02-01-stretched.wav
3,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-01-02-01.wav
4,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-02-01-01-stretched.wav
5,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-02-01-01.wav
6,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-02-02-01-stretched.wav
7,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-02-02-01.wav
8,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-01-01-01-stretched.wav
9,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-01-01-01.wav
10,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-01-02-01-stretched.wav
11,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-01-02-01.wav
12,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-02-01-01-stretched.wav
13,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-02-01-01.wav
14,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-02-02-01-stretched.wav
15,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-02-02-01.wav
16,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-02-01-01-01-stretched.wav
17,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-02-01-01-01.wav
18,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-02-01-02-01-stretched.wav
19,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-02-01-02-01.wav
20,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-02-02-01-01-stretched.wav
21,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-02-02-01-01.wav
22,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-02-02-02-01-stretched.wav
23,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-02-02-02-01.wav
