,0,1,2,3,4,5,6,7,8,9,10,11,12,Emotion
0,-1.2222557,0.4354529,0.6877478,0.6842647,1.1646714,0.4131565,1.2412632,-0.34093338,-0.46877924,0.99592865,0.40012255,0.76025355,-0.41221118,neutral
1,-1.0898011,0.30061093,0.44950068,1.1588188,0.927349,0.6301538,0.9945289,-0.7292819,-0.20650065,0.9611081,0.2963528,0.5410575,-0.4289487,neutral
2,-1.0547922,0.4121277,0.54836327,0.5331087,0.7830691,0.6412112,0.76670367,-0.50302434,-0.712587,0.76345116,0.35224134,0.6196778,-0.62251246,neutral
3,-1.0483396,0.40257102,0.7893536,0.6275852,1.0430892,0.96643734,0.73674154,-0.37630194,-0.5382309,0.8192248,0.6118458,0.30261326,-0.51038355,neutral
4,-1.3589168,0.7909843,0.8006522,0.8283142,1.117559,0.5959476,0.9037373,-0.068972856,-0.9609856,0.91810966,0.20432417,0.44317198,-0.5183374,calm
5,-1.1822169,1.1817393,0.5742952,0.6685649,1.3245586,0.38193867,0.733585,0.1150437,-0.77490675,1.0303911,0.46708784,0.25093693,-0.49655315,calm
6,-1.1176891,0.8770452,0.62078434,0.59481156,0.96497434,1.0138878,0.8360688,-0.03596716,-0.6619078,1.0791162,0.78603214,0.35105777,-0.43095285,calm
7,-1.1338875,1.0934591,0.46584558,0.69450134,0.95852965,0.83261424,0.7186717,-0.1296649,-0.6625773,0.65926915,0.683985,0.40187994,-0.42808446,calm
8,-1.2736115,1.4789578,0.75845903,0.8857541,1.2171315,0.4951774,0.85417885,0.56582063,-0.8018341,1.0941626,0.9984185,0.11330265,-0.42921147,calm
9,-0.74072987,1.5348704,0.39581147,0.80307096,0.98474157,0.39330038,0.31366867,-0.059656695,-0.9885641,1.2862831,0.67114586,-0.17986798,-0.6668624,calm
10,-0.5753967,1.5350889,0.71989053,0.31050202,1.1732924,0.8364562,0.04825228,0.026367864,-1.343908,1.1752957,1.194443,0.12777592,-0.7489528,calm
11,-0.562948,1.2362597,0.25987887,1.0852474,1.0384156,0.81251436,-0.11104367,-0.58757555,-0.9084148,1.6857061,0.7907012,0.05513624,-1.0099955,calm
12,-0.6085015,0.70522684,0.23194477,0.6519774,0.47038567,0.07305711,0.52328837,-0.5771188,-0.39640078,0.5548986,-0.69638115,0.77441436,-1.0779794,happy
13,-0.4519216,0.6216768,0.2397473,1.006481,0.8806144,0.021067748,0.8475594,-0.69689906,-0.27867085,1.0771381,-0.4880265,1.3933978,-0.945991,happy
14,-0.6913464,0.68322194,0.5087684,0.38188684,0.59447753,0.3875775,0.4361217,-0.94054574,-0.6509753,1.3858478,-0.47207832,0.8172643,-0.6277062,happy
15,-0.5187927,0.45113257,0.80062383,0.97433144,0.41807988,0.6990373,0.55759656,-1.1513534,-0.9845082,0.8479873,-0.18898617,0.89590895,-0.92832047,happy
16,-0.07745839,0.026526587,0.10468593,-0.41944614,0.39925563,-0.24092981,-0.62737197,-0.010238172,-1.9333155,0.7024528,-0.88720495,0.2748345,-1.1166989,happy
17,0.16354808,0.3610595,-0.35273212,-0.097348936,0.67437094,-0.39423218,0.01021961,-0.66322076,-1.9857488,1.6396114,-1.0028597,0.5009132,-0.60621655,happy
18,0.8579134,0.063836545,-0.2765383,-0.048855018,0.38295373,-0.42083675,-0.4264329,-1.9770331,-1.7412417,1.1892716,-1.7452992,0.994186,-1.605476,happy
19,0.6879361,0.23234972,-0.25698307,-0.10995791,0.11441079,-0.2941358,-0.5192945,-1.7864468,-2.261615,0.6671171,-1.1432775,0.93056065,-1.2742305,happy
20,-0.8370462,1.0204583,0.35620138,1.2707307,0.61846536,0.47366363,0.47521773,-0.91635525,-0.5987776,-0.26439044,0.65692735,-0.014106072,-1.2639908,sad
21,-1.0866566,0.67476225,0.18184547,1.0430645,0.67197436,0.8178188,0.73722446,-0.57478374,-0.7666747,0.33972755,0.6570015,-0.13279966,-0.19795044,sad
22,-1.5052267,0.58647543,0.26360342,0.9213439,0.6584182,0.6013846,0.71893275,-0.68380547,-0.5055403,0.55525,0.7169268,0.038639218,-0.3159458,sad
23,-1.2816367,0.6668293,0.58430904,1.0319829,0.64382577,1.1245484,0.8983292,-1.0500566,-0.59812176,0.26499665,0.43733323,0.3385945,-0.7255436,sad
24,-0.7454577,1.0195612,0.55575204,1.347187,0.60968804,0.6038512,0.5747981,-0.74300396,-0.13358584,0.117158145,0.19369932,0.16603163,-1.1288112,sad
25,-0.39110422,0.18735436,0.19863182,0.45511854,0.5758785,-0.34132782,0.26304194,-1.1504833,-1.189989,0.5559712,-0.879271,0.8335229,-1.4324857,sad
