,Gender,Emotion,Actor_ID,0,1,2,3,4,5,6,7,8,9,10,11,12
0,male,neutral,1,-662.1679,59.69811,0.6110832,17.169432,3.8285017,-3.066584,-4.8663635,-12.571403,-8.595028,2.2531755,-4.9913707,2.6216257,-6.4781737
1,male,neutral,1,-647.9788,57.131824,-2.9471977,22.008377,1.3819733,-1.3404396,-6.673623,-14.953403,-7.200645,2.0564756,-5.533809,1.4856328,-6.5607953
2,male,neutral,1,-644.2285,59.25419,-1.4706599,15.62812,-0.10539046,-1.2524807,-8.34238,-13.565615,-9.891212,0.93992203,-5.2416615,1.8930858,-7.5162845
3,male,neutral,1,-643.5373,59.072308,2.128592,16.59148,2.5751245,1.3345902,-8.561844,-12.7883415,-8.964262,1.2549844,-3.884624,0.24988478,-6.9627824
4,male,calm,1,-676.8076,66.46451,2.297339,18.638279,3.3428264,-1.6125382,-7.3386464,-10.903287,-11.211803,1.8135798,-6.014873,0.9783365,-7.002045
5,male,calm,1,-657.8788,73.901276,-1.0833601,17.009344,5.4767604,-3.314912,-8.584965,-9.7745905,-10.22253,2.4478521,-4.641321,-0.01792999,-6.894511
6,male,calm,1,-650.9663,68.1024,-0.3890333,16.257294,1.769849,1.7120428,-7.834299,-10.700841,-9.62178,2.7230978,-2.9740949,0.5009507,-6.5706882
7,male,calm,1,-652.70154,72.221146,-2.7030826,17.273813,1.703411,0.2700698,-8.6942005,-11.275552,-9.6253395,0.35140312,-3.5075285,0.76433885,-6.556529
8,male,calm,1,-667.6694,79.55788,1.667173,19.223984,4.3693075,-2.4141338,-7.701648,-7.0096745,-10.365687,2.8080938,-1.8638818,-0.73122567,-6.5620923
9,male,calm,1,-610.58484,80.621994,-3.7490602,18.380878,1.9736273,-3.2245333,-11.660735,-10.846145,-11.358422,3.8933733,-3.5746431,-2.2505953,-7.7352095
10,male,calm,1,-592.87366,80.62615,1.0911431,13.358239,3.9173746,0.30063105,-13.604836,-10.318499,-13.24758,3.2664113,-0.8391973,-0.6562173,-8.140432
11,male,calm,1,-591.5401,74.938896,-5.7792478,21.258183,2.5269463,0.11018175,-14.771635,-14.084224,-10.932315,6.1496935,-2.949688,-1.0326756,-9.429018
12,male,happy,1,-596.42,64.83239,-6.1964507,16.840204,-3.3288066,-5.7719674,-10.125329,-14.020085,-8.210234,-0.23818071,-10.723155,2.6950145,-9.764607
13,male,happy,1,-579.6465,63.242283,-6.079918,20.455015,0.9001923,-6.1855264,-7.750134,-14.754778,-7.584332,2.7119234,-9.634017,5.902923,-9.113072
14,male,happy,1,-605.2947,64.4136,-2.06202,14.086138,-2.0495586,-3.270057,-10.763801,-16.249226,-9.563659,4.455809,-9.550651,2.9170861,-7.5419226
15,male,happy,1,-586.81,59.99652,2.2969155,20.127192,-3.8680208,-0.7924925,-9.874031,-17.54225,-11.33686,1.417462,-8.070835,3.324666,-9.025846
16,male,happy,1,-539.5324,51.91551,-8.097094,5.9150853,-4.062078,-8.269634,-18.553596,-10.543028,-16.381117,0.59534526,-11.720654,0.10592035,-9.955738
17,male,happy,1,-513.7148,58.28227,-14.928748,9.199454,-1.2259469,-9.489106,-13.883415,-14.548206,-16.659874,5.889306,-12.325219,1.2775829,-7.435843
18,male,happy,1,-439.33145,52.625584,-13.790774,9.693938,-4.230132,-9.700737,-17.081774,-22.606695,-15.359972,3.3453596,-16.206194,3.8339906,-12.36849
19,male,happy,1,-457.54013,55.83269,-13.498712,9.070883,-6.9985094,-8.692871,-17.76196,-21.437702,-18.126495,0.395736,-13.059229,3.5042498,-10.733362
20,male,sad,1,-620.90265,70.83181,-4.3406467,23.149523,-1.8022711,-2.585269,-10.477433,-16.10085,-9.286154,-4.866303,-3.648968,-1.3915269,-10.682816
21,male,sad,1,-647.64197,64.252594,-6.9446964,20.82805,-1.2506528,0.15237662,-8.558307,-14.005763,-10.178765,-1.4536711,-3.6485803,-2.0066617,-5.420518
22,male,sad,1,-692.48096,62.57234,-5.723621,19.586887,-1.390402,-1.5692892,-8.692288,-14.674466,-8.790465,-0.23619583,-3.335331,-1.1181722,-6.002979
23,male,sad,1,-668.52905,64.101616,-0.9338003,20.715054,-1.5408336,2.5923142,-7.378259,-16.920929,-9.282667,-1.8758223,-4.7968583,0.43635914,-8.024878
24,male,sad,1,-611.0913,70.814735,-1.360307,23.929134,-1.8927554,-1.5496678,-9.7480345,-15.03757,-6.8129992,-2.7109544,-6.0704126,-0.45795542,-10.015529
25,male,sad,1,-573.1315,54.97635,-6.693988,14.832869,-2.2412937,-9.068269,-12.031562,-17.536913,-12.429281,-0.23212181,-11.67918,3.001347,-11.514558
26,male,sad,1,-562.9357,58.95809,-5.8714585,18.25467,-2.0867298,-6.412412,-12.434956,-23.264036,-13.101422,-1.0469911,-11.438573,2.0252976,-11.065071
27,male,sad,1,-542.3344,54.293198,-4.349629,16.65721,-4.0345187,-6.2732363,-13.494709,-20.159523,-11.61658,0.39165208,-9.97969,1.8441588,-12.320126
28,male,angry,1,-472.8612,44.810623,-5.0876946,14.651452,-7.2957087,-4.6013794,-4.907617,-12.56231,-13.432449,1.459029,-9.209404,0.9077353,-9.771784
29,male,angry,1,-450.05472,45.554474,-6.943024,9.942597,-10.219939,-5.469274,-14.63512,-16.18538,-15.18673,-3.7870169,-12.49461,-2.1489115,-10.422775
30,male,angry,1,-536.36743,47.134663,-0.9100879,12.416381,-4.757345,-3.4803052,-9.782815,-15.261837,-10.184787,-2.0843751,-7.6417017,-0.06890536,-9.331743
31,male,angry,1,-476.65158,50.225315,-4.659991,11.550139,-6.01067,-4.490372,-9.336518,-18.516897,-12.6357565,-0.9127554,-10.233664,2.6344879,-11.622865
32,male,angry,1,-263.3973,28.596594,-24.759117,-2.9605806,-18.14151,-8.719347,-24.1532,-15.607651,-18.097761,-4.970197,-10.8877735,-6.213643,-13.117359
33,male,angry,1,-281.1188,30.675041,-22.418776,1.5736935,-16.176691,-12.195159,-14.948899,-17.294914,-20.684568,-3.7772973,-17.656189,-2.86608,-11.171504
34,male,angry,1,-310.89444,28.42099,-16.836187,3.9199498,-12.950494,-8.959938,-14.755458,-16.75189,-17.292015,-0.3844414,-15.380421,1.0734582,-12.189698
35,male,angry,1,-184.80923,20.936096,-30.157911,-7.57821,-17.461782,-17.694118,-25.89188,-18.844421,-22.476955,-0.050359644,-17.086462,-4.849618,-10.7133045
36,male,fearful,1,-543.07886,60.827293,-2.3250582,20.040518,0.37990245,-4.362623,-9.470159,-16.475634,-6.8796873,-2.6721687,-2.8255696,3.9072201,-8.760534
37,male,fearful,1,-554.47974,59.441444,-10.185579,13.944974,-2.5350094,-7.799735,-15.310593,-21.429775,-10.552553,-2.310032,-9.723516,0.7147437,-11.637261
38,male,fearful,1,-579.0212,61.214542,4.4679513,20.124304,2.9157698,0.09511977,-10.028372,-12.90414,-5.852536,-0.44106114,-3.240197,2.2153885,-6.5002666
39,male,fearful,1,-556.1217,65.40595,-4.799926,21.397846,0.3702384,-1.2486147,-14.051432,-16.02785,-5.0755353,0.24371596,-3.343391,0.34910262,-5.5854187
40,male,fearful,1,-367.8945,36.181515,-13.267568,11.709918,-1.6934286,-0.46709394,-15.480835,-16.437176,-12.524378,2.8168955,-7.351125,1.6640137,-9.058466
41,male,fearful,1,-328.38907,47.211838,-28.824442,1.3116443,-2.0056427,-8.535783,-21.35676,-22.890257,-18.531673,-4.198476,-16.268702,-6.0377846,-12.755608
42,male,fearful,1,-312.496,31.533539,-22.693214,-1.0276304,-11.721919,-6.35356,-24.405956,-20.592285,-18.355537,-3.2990766,-14.64376,-6.442268,-13.4511
43,male,fearful,1,-355.75055,43.82953,-22.180597,1.4587909,-3.1720273,-6.390027,-22.714874,-17.203644,-20.931776,4.177271,-13.439252,-5.8858156,-12.873718
44,male,disgust,1,-585.0075,65.28484,-4.1034627,14.193983,0.689037,-5.50089,-11.8875885,-16.903093,-12.076961,0.56107986,-12.054583,-2.2239387,-11.232141
45,male,disgust,1,-550.3333,60.238453,-3.9108727,6.641673,1.8316246,-7.9166,-13.383989,-15.675337,-12.402577,1.8501573,-10.418181,-3.1764078,-7.9613347
46,male,disgust,1,-600.6925,73.24074,5.3684034,15.229514,-2.0075896,2.2477164,-19.162405,-12.1083,-7.7307034,-2.0200112,-6.90813,-0.7128103,-10.159681
47,male,disgust,1,-600.0295,61.95989,-0.35310948,10.138527,-2.2376873,1.2296418,-17.762325,-11.701631,-6.359174,1.4160901,-7.2015977,-0.31330132,-10.889817
48,male,disgust,1,-417.0719,50.906662,-10.41681,-9.66067,-9.827745,-6.551199,-26.79464,-19.641794,-15.518252,-3.739117,-8.278402,-8.20828,-10.219484
49,male,disgust,1,-429.20224,41.866653,-9.80669,-0.6087877,-13.000613,-14.574513,-27.764462,-12.087046,-12.202881,-5.619471,-12.081188,-8.614051,-15.53685
50,male,disgust,1,-439.9949,58.447506,7.8714066,-7.179818,-8.655215,-4.7462506,-29.983479,-10.248545,-13.771076,-12.30571,-6.198456,-11.197753,-17.331985
51,male,disgust,1,-413.32098,55.428436,-5.9990826,-2.284125,-6.979095,-9.725132,-30.053553,-14.051428,-12.252886,-8.29277,-12.874324,-8.382341,-13.1967945
52,male,surprised,1,-621.2152,58.125782,-3.3009543,12.714135,-1.0751412,-5.700518,-10.197625,-11.27645,-11.326209,0.60738236,-7.930377,0.11362013,-9.506552
