,Gender,Emotion,Actor_ID,Path,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-01-01-01-stretched.wav,-59.47029,-57.089886,-50.61658,-44.007698,-43.722084,-48.223427,-48.103745,-48.136875,-44.498074,-44.77019,-46.177486,-46.427635,-47.400444,-47.69952,-48.726578,-47.52147,-46.116753,-46.75707,-47.278503,-47.10137,-47.97459,-47.731834,-47.210835,-49.309776,-51.728977,-52.356533,-51.937576,-53.459026,-53.640484,-55.11268,-54.51765,-54.236656,-56.508564,-57.824448,-58.409843,-58.872112,-56.68318,-58.15679,-58.077076,-57.82003,-58.208572,-57.775116,-58.7176,-59.26738,-58.504738,-57.646458,-56.45955,-54.582207,-54.585033,-56.11032,-56.729492,-56.643425,-56.12177,-54.868103,-55.81085,-56.105457,-55.562485,-55.257042,-55.118885,-57.023033,-56.212444,-55.536884,-56.076256,-57.40772,-57.742603,-59.36261,-60.529697,-58.04561,-58.15889,-59.3047,-60.05526,-60.82725,-59.530968,-59.881668,-60.495205,-59.454643,-57.735497,-56.920033,-57.23462,-57.276398,-57.04722,-57.87006,-59.68968,-60.682304,-60.50483,-60.874783,-61.311348,-60.93337,-61.20626,-60.153893,-58.976635,-58.985764,-59.611805,-59.537243,-58.758873,-60.67307,-62.48831,-64.338715,-66.56956,-67.64348,-67.22824,-65.11491,-64.94319,-65.77912,-66.7891,-67.252914,-67.23923,-67.84265,-67.54339,-68.29098,-67.83412,-68.505165,-67.61928,-66.35299,-65.25041,-63.501453,-63.776997,-64.61377,-64.89817,-65.39619,-66.40193,-66.87153,-67.60137,-67.58601,-67.56575,-68.11036,-71.21583,-76.01345
1,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-01-01-01.wav,-61.118885,-54.983078,-49.570766,-44.63336,-44.871975,-49.025803,-48.847313,-49.313538,-47.00253,-47.509964,-48.43041,-47.99541,-49.306095,-49.296143,-49.52843,-48.559837,-47.454235,-47.551247,-48.238174,-48.245956,-49.12169,-49.09291,-48.948124,-50.703304,-52.91778,-53.23888,-53.098816,-54.28463,-54.416126,-55.71598,-55.440018,-55.22543,-57.457077,-57.974487,-58.492783,-59.275745,-57.7933,-58.970547,-58.662533,-58.077293,-57.676468,-57.71855,-58.76158,-59.454067,-58.341984,-58.18973,-57.2922,-55.793434,-55.991978,-57.104282,-57.215843,-57.432755,-56.793545,-55.756527,-56.71255,-56.660122,-56.49446,-56.00384,-56.028122,-57.521744,-56.67779,-56.407604,-57.224033,-57.89,-58.077065,-59.521175,-60.56978,-58.533432,-58.81801,-59.80105,-60.386974,-60.738297,-59.717728,-60.12449,-60.25675,-59.768776,-58.418983,-57.45846,-57.952988,-57.773792,-57.57285,-58.462746,-59.82574,-60.620995,-60.780483,-61.169384,-61.728794,-61.11249,-60.86525,-60.664917,-59.326126,-59.32587,-59.771336,-59.705727,-59.036964,-60.722424,-62.203224,-63.826614,-65.98287,-66.91614,-66.42381,-64.58869,-64.430565,-65.240944,-66.31734,-66.27265,-66.292145,-67.004585,-66.618416,-67.43088,-67.110405,-67.58051,-66.87035,-65.72784,-64.57182,-63.27731,-63.193153,-64.360344,-64.384636,-64.851555,-65.573006,-66.277275,-66.57578,-66.757454,-66.88972,-67.26003,-70.03762,-74.613335
2,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-01-02-01-stretched.wav,-56.58385,-52.87998,-49.190556,-44.53944,-41.47083,-44.196404,-45.349308,-46.738197,-44.32212,-42.901085,-42.58068,-43.71997,-46.114513,-45.933636,-45.450912,-45.91334,-44.05671,-43.71806,-45.530357,-45.922375,-46.5492,-47.789394,-47.446365,-47.92613,-48.84013,-50.708584,-52.609947,-52.439167,-50.32593,-51.954315,-55.068863,-54.929268,-55.377342,-56.36418,-57.411236,-58.831474,-58.42423,-58.38205,-56.202732,-56.847164,-57.503616,-57.361813,-56.790268,-57.585896,-58.705395,-59.06684,-56.516712,-52.67855,-52.726925,-55.943604,-56.816402,-55.616493,-54.726322,-54.075005,-54.317158,-53.697998,-53.91438,-53.84771,-53.801697,-54.103577,-53.305202,-53.8037,-56.09832,-55.38821,-55.815887,-58.198166,-58.482304,-57.487118,-58.21776,-58.61544,-58.905888,-58.67235,-57.630486,-58.086197,-58.958282,-58.19675,-56.980137,-55.94946,-56.74763,-55.407673,-55.12076,-55.99433,-57.059353,-58.69095,-57.920242,-58.573906,-59.12453,-58.276722,-57.7799,-57.463192,-57.337933,-57.10635,-57.74763,-56.937782,-57.27454,-58.173733,-59.30417,-60.39608,-64.37182,-66.49293,-66.00312,-63.603153,-62.316334,-62.604782,-63.67545,-65.88646,-65.88035,-66.94345,-67.255974,-68.9585,-68.50979,-68.624016,-67.72625,-66.12218,-64.53849,-63.64875,-63.468437,-64.01928,-64.682846,-65.65708,-66.864525,-67.3224,-67.8999,-67.9559,-67.84653,-68.25693,-71.53035,-76.46283
3,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-01-02-01.wav,-60.4997,-54.449234,-50.824345,-45.516537,-43.877007,-46.685093,-47.928158,-49.29182,-47.513496,-46.184795,-45.84922,-46.144505,-48.180416,-48.295246,-48.30697,-48.465996,-46.712975,-45.91973,-47.20225,-47.227436,-48.23319,-49.208286,-48.71824,-49.852943,-51.151905,-52.40546,-53.357788,-53.542458,-51.925533,-53.58862,-55.60135,-55.32478,-55.563316,-56.304638,-57.850895,-59.27286,-58.606133,-58.654945,-57.266335,-57.674576,-57.74245,-57.635902,-57.51394,-58.12822,-58.22196,-58.52767,-56.911884,-53.94496,-54.14277,-56.596195,-56.87574,-56.327724,-55.50699,-55.105392,-55.331753,-55.012592,-54.72726,-54.490063,-54.782166,-54.879192,-54.35757,-54.441906,-56.139286,-56.005623,-55.74776,-57.841106,-58.610268,-57.750553,-57.902798,-58.2893,-58.951946,-58.779125,-57.81696,-58.313705,-58.897903,-58.4557,-57.503155,-56.73623,-57.527004,-56.305317,-56.01147,-56.60134,-57.572227,-58.585476,-57.989536,-58.874573,-59.213165,-58.219402,-58.132008,-57.90527,-57.30116,-57.066696,-57.416416,-57.113922,-57.144623,-57.87589,-59.05872,-60.33724,-63.476974,-65.07544,-64.85996,-63.064713,-61.796333,-61.964096,-62.98649,-64.649895,-64.452934,-65.532616,-65.92571,-67.12722,-66.92053,-66.9122,-66.365204,-65.07462,-63.74036,-62.676872,-62.63503,-63.186672,-63.970367,-64.99034,-65.75878,-65.9644,-66.64473,-66.62206,-66.519196,-66.863976,-69.650635,-74.055534
4,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-02-01-01-stretched.wav,-58.74138,-56.001102,-51.816784,-43.856632,-42.05885,-47.112415,-49.41194,-48.390076,-45.721966,-44.966507,-45.19443,-45.050636,-46.085217,-46.156204,-48.313534,-46.774376,-44.03316,-42.942665,-45.41277,-47.177414,-46.509964,-45.46993,-46.06332,-49.411903,-52.443085,-49.872334,-49.46128,-51.72261,-51.871212,-54.26723,-53.756996,-52.599827,-55.055992,-55.680588,-56.252316,-58.364788,-57.85932,-58.714993,-57.58951,-56.7152,-56.494194,-56.986137,-57.61164,-57.587807,-56.099567,-56.719105,-55.50807,-52.376793,-53.45811,-55.866867,-55.96041,-55.021328,-55.305775,-54.743748,-55.089603,-54.526867,-54.417168,-53.743626,-54.16023,-54.680676,-54.32874,-55.87901,-56.012627,-55.627968,-57.41165,-58.43276,-59.915154,-58.448498,-58.923973,-59.367516,-59.491756,-60.23778,-58.317005,-58.744987,-59.399452,-58.941322,-57.413174,-56.438393,-57.06069,-57.42103,-57.817314,-59.403934,-60.205025,-61.286404,-60.56145,-61.307762,-61.84238,-60.854836,-60.759506,-59.348663,-58.268856,-57.791836,-57.922016,-57.911835,-58.367622,-60.242393,-61.344406,-62.649475,-65.023315,-65.56635,-66.225395,-64.962685,-64.178955,-64.66674,-65.9534,-65.72961,-65.86283,-66.3617,-66.37069,-66.36788,-66.44016,-66.64292,-66.36997,-65.53792,-64.466194,-63.96261,-64.94408,-65.590775,-65.491844,-66.53725,-67.34361,-67.93308,-68.78282,-68.826996,-68.24196,-68.38128,-70.99388,-75.69407
5,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-02-01-01.wav,-60.494534,-55.673824,-51.60996,-45.20053,-43.872383,-47.894592,-49.54707,-48.971344,-46.27802,-45.88304,-46.10741,-45.89949,-46.5232,-46.789864,-48.760983,-47.599277,-45.24038,-45.029133,-47.138027,-48.488876,-47.996426,-46.413425,-46.659653,-49.52372,-52.66561,-50.757694,-50.219105,-51.432465,-52.084053,-54.031277,-54.453182,-53.417133,-55.33545,-55.770504,-55.806545,-57.22611,-57.262646,-57.975254,-57.37575,-56.66343,-56.49133,-56.503014,-56.665005,-56.673374,-55.98885,-56.40664,-55.199776,-52.665565,-53.536274,-55.524475,-55.725613,-54.8405,-55.118774,-54.830082,-54.943546,-54.520916,-54.620167,-54.140697,-54.2223,-54.684273,-54.58085,-55.686417,-55.87438,-55.77526,-57.103504,-57.804108,-59.16199,-57.979958,-58.003677,-58.516315,-58.697136,-59.290882,-57.988983,-58.33527,-58.444454,-58.314735,-56.795982,-56.062607,-56.441402,-56.64735,-57.285084,-58.754204,-59.199192,-60.112152,-59.62164,-60.045746,-60.478992,-59.38673,-59.318073,-58.49002,-57.756596,-57.008583,-56.972908,-57.221523,-57.808907,-59.019054,-60.211952,-61.341286,-63.47074,-64.12277,-64.4221,-63.222523,-62.75525,-63.234806,-64.10616,-63.94188,-64.152756,-64.64254,-64.447426,-64.43161,-64.40986,-64.792984,-64.52928,-63.620213,-62.94322,-62.642612,-63.273975,-63.552628,-63.725918,-64.70461,-65.33395,-65.85482,-66.631424,-66.658875,-66.31676,-66.34718,-68.70804,-72.62604
6,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-02-02-01-stretched.wav,-59.30961,-57.450184,-50.956116,-43.277935,-41.8884,-46.945816,-49.63227,-49.28091,-45.98081,-43.363403,-43.96671,-47.196835,-48.330147,-47.604748,-46.597397,-45.806427,-44.616344,-45.22382,-47.70457,-48.015957,-46.94352,-45.839603,-46.867924,-49.763817,-52.76297,-51.804325,-51.04514,-52.034798,-51.795597,-54.255127,-55.07215,-54.977177,-55.317875,-55.765965,-56.866314,-59.59527,-59.513214,-58.229507,-57.16462,-56.83437,-56.916298,-58.318085,-58.452877,-58.372154,-57.332,-57.752613,-56.379627,-52.96314,-53.43403,-56.603504,-55.796978,-54.72529,-54.80969,-55.018684,-54.582638,-54.770195,-54.808598,-53.83015,-54.206375,-55.648857,-55.087715,-55.170887,-56.19877,-55.73512,-57.32258,-58.818436,-59.302704,-58.70114,-59.002773,-59.253925,-59.652332,-60.486797,-58.619267,-58.75978,-59.499554,-58.463577,-57.79458,-57.31002,-57.079113,-57.030304,-57.94556,-59.080605,-60.066597,-61.058346,-60.476234,-60.523872,-60.87611,-60.542408,-59.96285,-58.767277,-58.32119,-58.055832,-58.67542,-58.57669,-58.652042,-59.222767,-60.333782,-61.464573,-62.771267,-63.311375,-63.491013,-63.27992,-63.493786,-63.387512,-63.312862,-63.83285,-64.08227,-64.33049,-64.80264,-64.456665,-64.74764,-64.955185,-64.14363,-63.104023,-63.018494,-63.09237,-63.64124,-63.79142,-64.4247,-65.66051,-66.23878,-66.89508,-67.25789,-66.8566,-66.7922,-66.620605,-68.02422,-72.15419
7,male,neutral,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-01-01-02-02-01.wav,-59.942272,-54.92617,-49.33431,-43.027405,-42.27363,-47.026875,-48.4201,-47.988785,-45.94404,-44.513275,-44.532978,-46.34299,-47.4892,-47.006508,-46.965782,-46.453636,-44.993137,-45.85188,-47.954067,-48.190742,-47.778656,-46.514416,-47.431973,-49.911175,-52.520866,-51.786068,-51.08758,-51.957794,-51.693073,-54.05279,-55.23472,-54.74693,-54.868095,-54.9902,-56.134308,-58.66465,-58.91251,-57.759544,-56.393402,-56.092842,-56.30124,-57.42456,-58.112408,-57.886833,-56.859474,-57.08051,-55.873505,-52.65279,-53.22855,-55.875233,-55.301857,-54.810455,-54.895584,-54.93668,-54.707264,-54.75329,-54.578293,-53.88005,-54.011333,-54.716633,-54.273182,-55.024925,-55.88379,-55.44813,-56.8467,-58.621258,-59.201824,-58.385544,-58.415474,-58.785057,-59.202835,-59.765438,-58.465942,-58.556038,-58.870285,-57.898823,-57.350254,-56.803547,-56.813164,-56.999,-57.795525,-58.46385,-59.597176,-60.38802,-59.8327,-60.01781,-60.5547,-60.1448,-59.60881,-58.45579,-58.35003,-57.994953,-58.424187,-58.531094,-58.466587,-59.031727,-60.208164,-60.98633,-62.08917,-62.851475,-63.10959,-62.791813,-62.956867,-62.76658,-62.885166,-63.398705,-63.559494,-63.862762,-64.28223,-63.82485,-64.28693,-64.3847,-63.70036,-62.651134,-62.72288,-62.665874,-63.08504,-63.245907,-63.510998,-64.732704,-65.42623,-66.06555,-66.44285,-66.037575,-65.77191,-65.79708,-67.25058,-71.58221
8,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-01-01-01-stretched.wav,-59.804993,-57.72498,-52.28356,-43.856888,-42.6269,-45.75495,-47.69133,-47.27283,-43.35071,-43.590908,-46.297718,-45.312317,-46.11154,-46.49133,-48.09639,-46.537437,-44.48591,-44.046627,-44.159565,-43.46331,-45.298687,-48.102955,-47.352665,-47.43855,-48.65299,-50.324894,-52.39963,-55.584587,-52.962383,-53.57306,-55.72513,-54.742447,-55.738686,-56.789295,-57.514763,-60.252525,-59.604668,-59.907433,-57.436478,-56.092415,-57.573147,-56.637165,-59.02044,-59.715702,-57.48818,-57.748966,-57.415623,-55.517265,-55.11219,-57.01256,-57.28517,-57.055878,-56.416363,-54.969467,-55.960464,-55.299473,-54.524487,-55.880424,-57.132126,-55.870895,-56.258835,-56.61041,-56.69421,-56.540916,-57.205887,-59.066517,-60.564636,-58.127216,-59.468147,-60.822998,-60.77318,-60.948326,-59.372543,-59.59572,-59.280903,-60.009518,-58.80782,-58.700798,-57.60594,-57.271862,-57.238544,-58.039654,-58.60068,-60.38059,-60.422276,-61.41543,-62.999573,-62.5184,-62.247242,-61.129543,-60.693863,-60.54881,-60.725975,-60.13574,-60.394974,-61.528267,-63.57129,-63.882607,-66.15291,-66.15238,-67.69393,-67.31614,-67.168335,-67.22865,-66.808914,-66.639404,-66.83271,-68.535965,-67.969246,-68.75556,-68.87563,-68.10364,-67.09723,-65.40893,-64.268585,-63.68362,-64.0887,-64.91746,-66.62854,-68.60857,-69.872734,-69.717155,-69.71811,-70.31244,-70.17251,-70.6242,-72.93258,-77.5565
9,male,calm,1,C:/Nini/Capstone/AudioFilesAugmented/Actor_01/01-01-02-01-01-01-01.wav,-61.227753,-55.400375,-51.811844,-45.613537,-45.48436,-48.01696,-49.381763,-49.208355,-46.667763,-46.220478,-48.507774,-47.75256,-48.288563,-49.00885,-50.242996,-49.133312,-47.571274,-47.689983,-47.986015,-47.128387,-48.83678,-52.03013,-51.622486,-51.55957,-51.71134,-53.346092,-54.851402,-56.455364,-54.91265,-55.605343,-57.331844,-56.84193,-57.54502,-57.769318,-58.588886,-60.656063,-60.754105,-60.83973,-58.550323,-58.362286,-59.298927,-58.512024,-60.12517,-61.012226,-58.9567,-58.920803,-58.836414,-56.927174,-57.11726,-58.991684,-58.61136,-58.44926,-58.212975,-57.283215,-58.4929,-57.665424,-57.27283,-58.109867,-58.55743,-57.48853,-58.094612,-58.660458,-58.956066,-58.766068,-59.387638,-60.786877,-61.63975,-60.100925,-61.29875,-61.965706,-61.816906,-62.418575,-60.911266,-60.855602,-61.10446,-61.47568,-60.209267,-60.27726,-59.777702,-59.203568,-59.019733,-59.840736,-60.36837,-62.097958,-61.97256,-62.813572,-63.846336,-63.393124,-63.512894,-62.99006,-62.03979,-61.956284,-62.19256,-61.745834,-61.879807,-62.55151,-63.953186,-64.72507,-66.537155,-66.55953,-67.82398,-67.38804,-67.263756,-67.24465,-67.2175,-66.941696,-67.10881,-68.17566,-67.88688,-68.46511,-68.746925,-68.30705,-67.15567,-65.952644,-65.007866,-64.493774,-64.74819,-65.28986,-67.130936,-68.46251,-69.02961,-69.345726,-69.32576,-69.91572,-69.80578,-70.08546,-72.26767,-76.48193
